DATE,Energy_Consumption,Anomaly
2016-08-01,27016.02584,-1
2017-08-01,26750.18665,-1
2018-08-01,29874.59826,-1
2021-02-01,16063.97068,-1
2021-04-01,15304.45053,-1
2022-08-01,27435.43426,-1
2023-04-01,16154.09389,-1
