DATE,Energy_Consumption,TAVG,TMAX,TMIN,PRCP,Year_x,Real GDP (millions of chained 2017 dollars),Year_y,Total Employment (number of jobs),Month,Year,DayOfWeek,Energy_Consumption_Lag_1,Energy_Consumption_Lag_2,Energy_Consumption_Lag_3,Energy_Consumption_Lag_4,Energy_Consumption_Lag_5,Energy_Consumption_Lag_6,Energy_Consumption_Lag_7,Energy_Consumption_Lag_8,Energy_Consumption_Lag_9,Energy_Consumption_Lag_10,Energy_Consumption_Lag_11,Energy_Consumption_Lag_12,Energy_Consumption_Rolling_Mean
2023-03-01,-0.6465169232538396,1.8553391768482854,67.88675675729506,53.4846517141841,1.1932301202769309,2023,1.6140164618302515,2023-01-01 00:00:00,2.4623303936178744,3,2023,2,16154.09389,18182.38622,19223.82354,22940.58818,25018.2423,22347.58343,20282.41442,18378.73369,18560.06591,20044.01987,17716.48917,17658.39818,17913.222386666668
2023-02-01,-1.3756799677472653,0.9592711326516182,66.48785070802766,49.02092229293324,0.7174462382294358,2023,1.6140164618302515,2023-01-01 00:00:00,2.4623303936178744,2,2023,2,19403.18705,16154.09389,18182.38622,19223.82354,22940.58818,25018.2423,22347.58343,20282.41442,18378.73369,18560.06591,20044.01987,17716.48917,17633.495623333332
2023-01-01,-0.2917003747425389,1.905467424405569,69.97904658789543,50.21519122485757,-0.4930171413254184,2023,1.6140164618302515,2023-01-01 00:00:00,2.4623303936178744,1,2023,6,17343.20593,19403.18705,16154.09389,18182.38622,19223.82354,22940.58818,25018.2423,22347.58343,20282.41442,18378.73369,18560.06591,20044.01987,19050.661086666667
2022-12-01,-0.7268833417017033,1.4219152085372369,64.87406333200164,46.03034579740427,3.13310266394159,2022,1.3777496592791796,2022-01-01 00:00:00,1.6096890246026334,12,2022,3,20405.59028,17343.20593,19403.18705,16154.09389,18182.38622,19223.82354,22940.58818,25018.2423,22347.58343,20282.41442,18378.73369,18560.06591,18974.9792
2022-11-01,-1.142087274050138,1.224365601575873,67.86152521396475,45.66602420673685,1.693166192740095,2022,1.3777496592791796,2022-01-01 00:00:00,1.6096890246026334,11,2022,1,19176.14139,20405.59028,17343.20593,19403.18705,16154.09389,18182.38622,19223.82354,22940.58818,25018.2423,22347.58343,20282.41442,18378.73369,19194.955853333337
2022-10-01,0.12058183822218686,0.7312793978597317,69.3412645815498,50.444740517575134,2.165779221514577,2022,1.3777496592791796,2022-01-01 00:00:00,1.6096890246026334,10,2022,5,18003.13589,19176.14139,20405.59028,17343.20593,19403.18705,16154.09389,18182.38622,19223.82354,22940.58818,25018.2423,22347.58343,20282.41442,19583.206273333333
2022-09-01,1.690394757434243,1.4379724952572723,69.14711098373748,42.85061894985654,1.732023852274464,2022,1.3777496592791796,2022-01-01 00:00:00,1.6096890246026334,9,2022,3,21570.34154,18003.13589,19176.14139,20405.59028,17343.20593,19403.18705,16154.09389,18182.38622,19223.82354,22940.58818,25018.2423,22347.58343,21859.58203666667
2022-08-01,2.196624585619516,1.3451397335364697,67.17316311784784,47.60191140982717,2.270598280560057,2022,1.3777496592791796,2022-01-01 00:00:00,1.6096890246026334,8,2022,0,26005.26868,21570.34154,18003.13589,19176.14139,20405.59028,17343.20593,19403.18705,16154.09389,18182.38622,19223.82354,22940.58818,25018.2423,25003.681493333337
2022-07-01,1.047212837399874,0.6588360358395082,69.1750333453178,45.60708146767248,2.015357005217424,2022,1.3777496592791796,2022-01-01 00:00:00,1.6096890246026334,7,2022,4,27435.43426,26005.26868,21570.34154,18003.13589,19176.14139,20405.59028,17343.20593,19403.18705,16154.09389,18182.38622,19223.82354,22940.58818,25876.29948
2022-06-01,0.11860771737510006,2.0552606293334876,67.37803003598023,45.65259547283917,2.684126455421632,2022,1.3777496592791796,2022-01-01 00:00:00,1.6096890246026334,6,2022,2,24188.1955,27435.43426,26005.26868,21570.34154,18003.13589,19176.14139,20405.59028,17343.20593,19403.18705,16154.09389,18182.38622,19223.82354,24396.131383333337
2022-05-01,-0.8091679331485426,0.27850350922584205,67.69557221845801,46.92999578858961,2.7153579313289646,2022,1.3777496592791796,2022-01-01 00:00:00,1.6096890246026334,5,2022,6,21564.76439,24188.1955,27435.43426,26005.26868,21570.34154,18003.13589,19176.14139,20405.59028,17343.20593,19403.18705,16154.09389,18182.38622,21565.54551
2022-04-01,-1.0828443999726058,1.4115532595612013,66.38985270550671,47.839952563275496,1.8649840246404408,2022,1.3777496592791796,2022-01-01 00:00:00,1.6096890246026334,4,2022,4,18943.67664,21564.76439,24188.1955,27435.43426,26005.26868,21570.34154,18003.13589,19176.14139,20405.59028,17343.20593,19403.18705,16154.09389,19559.6486
2022-03-01,-0.5227623645524289,2.028008769103352,67.5646599615365,44.49658005222914,2.818711491682462,2022,1.3777496592791796,2022-01-01 00:00:00,1.6096890246026334,3,2022,1,18170.50477,18943.67664,21564.76439,24188.1955,27435.43426,26005.26868,21570.34154,18003.13589,19176.14139,20405.59028,17343.20593,19403.18705,18955.66376666667
2022-02-01,-1.6258582250957574,1.7798632034289121,67.36687430489232,48.18904788922876,2.191089606361712,2022,1.3777496592791796,2022-01-01 00:00:00,1.6096890246026334,2,2022,1,19752.80989,18170.50477,18943.67664,21564.76439,24188.1955,27435.43426,26005.26868,21570.34154,18003.13589,19176.14139,20405.59028,17343.20593,18186.578080000003
